Front;Back
tell a joke;рассказать шутку
make jokes;шутить
nanny;нянечка
pick someone up from;подобрать кого-то из
private;частный, личный
break the rules;нарушать правила
against the rules;против правил
send;отправлять
set;задать
society;общество
story;история
take;брать
together;вместе
wake up;просыпаться
be close to;быть близким к
confident of/about;уверенный в
confidence in;уверенность в
meet face-to-face;встретиться лично
develop a friendship with;укреплять дружбу с
close friendship;близкая дружба
get on with;ладить с
hard to do something;тяжело что-либо делать
hard work;тяжелая работа
history;история
keep in touch with;поддерживать связь с
lose touch with;потерять связь с
get in touch with;связаться с
least;менее
loud;громкий
make;делать
real world;реальный мир
reliable;надежный
secondary school;средняя школа
stupid;глупый
trust someone to do something;доверить кому-то что-то сделать
earn/gain someone's trust;заработать чье-то доверие
place/put your trust in someone;доверять кому-то
respect;уважение, уважать
