Front;Back
be annoyed with;быть раздраженным
celebrate birthday;праздновать день рождения
do some shopping;ходить по магазинам
enjoy the nightlife;наслаждаться ночной жизнью
get back home;вернуться домой
go sightseeing;осматривать достопримечательности
have a cold;простудиться
have a picnic;устраивать пикник, ходить на пикник
laugh at;смеяться над кем-то
rent a boat;арендовать лодку
see a film;смотреть фильм
stay in a hotel;остановиться в отеле
walk in the mountains;ходить в горы, гулять в горах
watch a football match;смотреть футбольный матч
show people round your town;показать людям свой город
that sounds great;звучит здорово/отлично
that sounds interesting;звучит интересно
that sounds nice;звучит неплохо/хорошо
bunch of flowers;букет цветов
laugh about;смеяться над чем-то
documentary;документальный фильм
pass an exam;успешно сдать экзамен
take an exam;сдавать экзамен
grandparent;бабушка или дедушка
headache;головная боль
lake;озеро
market;рынок
have a party;устроить вечеринку
throw a party;закатить вечеринку
as usual;как обычно
call;звонить
clear;ясный
cloud;облако
catch fire;загореться, вспыхнуть
light a fire;разжечь костер
get in;попасть внутрь, зайти
next-door neighbour;ближайший сосед
