Front;Back
beans;бобы, фасоль
beef;говядина
loaf of bread;буханка хлеба
slice of bread;ломтик хлеба
stale bread;черствый хлеб
butter;сливочное масло
cream;сливки, крем
curry;карри
disagreement between people;несогласие между людьми
discuss;обсуждать
have a discussion;обсудить
discussion about smth;обсуждение чего-то
egg;яйцо
juice;сок
lamb;ягненок
nut;орех
pepper;перец
pork;свинина
potato;картофель
product;продукт
salt;соль
steak;стейк
sugar;сахар
avoid;избегать
bar;плитка, кусок
bar of chocolate;плитка шоколада
biscuits;печенье
combination of smth;комбинация чего-то
combine;комбинировать, совмещать
on a diet;на диете
be employed;быть трудоустроенным
full of smth;полный чего-то
hungry;голодный
part-time;неполный рабочий день
separately;раздельно
terrible;ужасный
unfair;несправедливый, нечестный
unforgettable;незабываемый
unhealthy;нездоровый, вредный
vitamins;витамины
grow;расти, выращивать
