Front;Back
TV;телевизор, телевидение
I hate watching TV;я ненавижу смотреть телевизор
what's on TV tonight?;что сегодня вечером по телевизору?
watch;смотреть, наблюдать
drive;водить
driver;водитель
learn to drive a car;учиться водить машину
he can't drive;он не умеет водить
end;заканчивать
end;конец
film;фильм
I like watching films on TV;я люблю смотреть фильмы по телевизору
I fell asleep during the film;я заснула во время фильма
make a film;снять фильм
learn;учиться, учить
learn to play the guitar;учиться играть на гитаре
learner;ученик
I enjoy working on my own;я люблю работать сам по себе
she lives on her own;она живет сама по себе
she wants to get a new phone;она хочет получить новый телефон
sound;звучать
it sounds good;это звучит хорошо
he sounds very boring;он такой скучный (все, что он говорит, звучит очень скучно)
it sounds fun;звучит весело
start;начинать
start reading, please;начинай читать, пожалуйста
think;думать
what do you think of it?;что ты об этом думаешь?
train station;железнодорожный вокзал
outside;снаружи
try;пробовать, пытаться
try to do something;пытаться что-то сделать
try to stop smoking;попробуй бросить курить
use;использовать
can I use your phone?;могу я воспользоваться вашим телефоном?
use the dictionary;пользоваться словарем
week;неделя
year;год
this week;на этой неделе
next week;на следующей неделе
last week;на прошлой неделе
word;слово
