Front;Back
classmate;одноклассник
wrong;неправильный
year;год
bring luck;приносить удачу
a piece of advice;совет
awful;ужасный
change;изменение
have no choice;не иметь выбора
choice of;выбор чего-либо
comment on;комментировать
make a comment;прокомментировать
in fashion;в моде
out of fashion;не в моде
grow up;вырасти
horse;лошадь
idea;идея
in public;публичный
last;длиться
open;открытый
paint;рисовать красками
pilot;пилот
prepare for;готовиться к
sales;распродажа
session;сессия
talk about/on;разговаривать о
give a talk;выступать с речью
train to do something;тренировать что-либо делать
useful;полезный
bilingual;двуязычный
have experience;иметь опыт
explain;объяснять
funny;смешной
grade;оценка
high;высокий
important;важный
population;население
positive;положительный
do research into;проводить исследование в
show;показывать
simple;простой
slow;медленный
thank you;спасибо
be excited about;быть взволнованным из-за
art exhibition;художественная выставка
put on an exhibition;организовывать выставку
stage an exhibition;проводить выставку
hold an exhibition;проводить выставку
inspiration;вдохновение
take a photo;фотографировать
professional;профессиональный
programme;программа
receive;получать
refugee;беженец
skill;навык
