Front;Back
anniversary;годовщина, юбилей
make an appointment;назначить встречу
keep an appointment;приходить на назначенную встречу
approve of smth;одобрять что-либо
encourage;воодушевлять, поощрять
encouragement;поощрение, одобрение
hold;держать
keep hold of smth;не выпускать что-либо из рук
be jealous of smn;ревновать кого-либо
knock;стучать, стук
nightclub;ночной клуб
plant;сажать
promise smn smth;пообещать кому-то что-то
make a promise;дать обещание
keep a promise;сдержать обещание
break a promise;нарушить обещание
remove;перемещать, снимать, удалять
removal;удаление, устранение
slip;поскользнуться
break up with smn;порвать с кем-то
breakup;разрыв отношений
equivalent to smth;эквивалент чему-то
good-looking;хорошо выглядящий
high;высокий
height;высота
in-law;свойственник (свояк)
invitation to smth;приглашение куда-то
invite;приглашать
by mistake;по ошибке
make a mistake;совершить ошибку
partner;партнер
shame;стыд, позор, досада
tall;высокий (о человеке)
