Front;Back
app;приложение
button;кнопка, пуговица
press the button;нажать на кнопку
design;дизайн, разрабатывать
drop;ронять
conduct electricity;проводить электричество
generate electricity;вырабатывать электричество
energy;энергия
file;файл
heavy;тяжелый
install;устанавливать
installation;установка
follow instructions;следовать инструкциям
plug in;включить в розетку
power;сила, мощь
press;нажимать
produce;производить
search;искать, поиск
do research;проводить исследование
website;веб-сайт
ages;вечность
take ages;занимать много времени
for ages;целую вечность
brand;марка, бренд
digital;цифровой
keybord;клавиатура
key;вводить
model;модель
plug;вилка, штекер
screen;экран
tablet;планшет
washing machine;стиральная машина
accident;несчастный случай, авария
