Front;Back
present;подарок
season;сезон (время года)
sky;небо
sing a song;петь песню
sunny;солнечный
treat someone well/badly;относиться к кому-то хорошо/плохо
a view over something;вид на что-то
go on holiday;поехать в отпуск
go out for dinner;пойти поужинать
go swimming;пойти поплавать
warm;теплый
flight;полет, рейс
have fun;веселиться
heavy rain;проливной дождь
rice;рис
set the alarm clock;завести/поставить будильник
turn on/off;включить/выключить
trip;поездка
turn up/down;сделать громче/тише
public holiday;государственный праздник
ability;способность, возможность
free;бесплатный
for free;бесплатно
miss a plane;опоздать на самолет
take a taxi from the airport;взять такси из аэропорта
a room with a sea view;комната с видом на море
communicate;общаться
decide;решать
colour;цвет
adult;взрослый
die;умереть, скончаться
pet;домашний питомец
repeat;повторять
size;размер
sound;звук
understand;понимать
