Front;Back
bakery;булочная, пекарня
bar;бар
cake;торт, пирожное
cheese;сыр
choose;выбирать
choice;выбор
dress;платье
escalator;эскалатор
floor;пол, этаж
go up;подниматься, идти вверх
grow;расти, развиваться
growth;рост
jeans;джинсы
jumper;свитер
lift;лифт
take a lift;воспользоваться лифтом
call a lift;вызвать лифт
pay;платить
queue;стоять в очереди; очередь
sale;распродажа
section;секция, отдел
steal;воровать, красть
top;вершина, верх
top;топ (одежда)
Anything else?;Что-нибудь еще?
cost;стоить
cup;чашка
fish;рыба
kilo;килограмм
leather;кожа (материал)
litre;литр
made;сделанный
make;делать, создавать
meal;прием пищи
next;следующий
petrol;бензин
reduced;уменьшенный; со скидкой
stuff;барахло, фигня
bargain;сделка, выгодная покупка
children;дети
childhood;детство
coat;пальто
continue;продолжать
customer;клиент, покупатель
economy;экономика
economic;экономический
economics;экономика (наука)
fast;быстро
