Front;Back
acting;актерская игра
advert;реклама
advertise;рекламировать
border between;граница между
efficient;эффективный
call an election;назначить выборы
general election;всеобщие выборы
injure;ранить, повредить
insurance policy;страховой полис
take out insurance;получить страховку
insure smn against smth;застраховать кого-либо против чего-либо
be insured for a large sum of money;быть застрахованным на большую сумму денег
leader;лидер
leadership;лидерство, руководство
murder;убийство, убивать
murderer;убийца
musical;мюзикл
keep the peace;сохранять мир
be at peace;быть в состоянии мира
write a play;написать пьесу
act in a play;играть в пьесе
strong;сильный, крепкий
support;поддержка, поддерживать
supportive;оказывающий поддержку
hold talks;вести переговоры
treatment;лечение
treat smn for smth;лечить кого-либо от чего-либо
wage;зарплата за неделю
salary;зарплата за месяц
brilliant;великолепный
definitely;определенно
definite;точный, определенный
depressing;подавляющий, угнетающий
depress;угнетать, подавлять
ending;концовка
entertaining;развлекательный, занимательный
entertainment;развлечение
hide;прятать
killing;убийство
predictable;ожидаемый, предсказуемый
prediction;предсказание, прогноз
play a role;играть роль
wonderful;чудесный
clear;ясный, понятный
community;сообщество
