Front;Back
call an ambulance;вызвать скорую помощь
bring smb smth;принести кому-то что-то
cry;плакать, кричать
exciting;захватывающий
be excited about/by;быть взволнованным чем-то
fall down;падать
fall off;падать, отпадать, отваливаться
hurt myself;пораниться
palace;дворец
go on a ride;прокатиться на аттракционе
lion;лев
zoo;зоопарк
arrive late;прибывать поздно
arrive early;прибывать рано
arrive on time;прибыть вовремя
average;средний, среднестатистический
check that;проверь это
check smth for smth;проверить что-то на что-то
wet/damp cloth;влажная тряпка
feel;чувствовать
feel like;хотеть, быть в настроении
gas;газ
let me;позволь мне
valid passport;действительный паспорт
passport expires;у паспорта заканчивается срок действия
passport holder;владелец паспорта
renew a passport;обновить паспорт
jacket pocket;карман куртки
front/back pocket;передний/задний карман
breast pocket;нагрудный карман
remember;помнить
sauce;соус
take;брать, взять
national airline;национальная авиалиния
international airline;международная авиалиния
airline passengers;пассажиры авиалинии
budget airline;бюджетная авиалиния
birthday celebration;празднование дня рождения
