Front;Back
clever;умный
dead;мертвый
feed;кормить
female;женский
keep fit;поддерживать форму
get fit;прийти в форму
do housework;делать работу по дому
look after;присматривать за
male;мужской
old;старый
repair to something;ремонт чего-то
be strict with someone;быть строгим с кем-то
wedding reception;свадебный прием
wedding guest;гость на свадьбе
wedding ceremony;свадебная церемония
wedding anniversary;годовщина свадьбы
alive;живой
aunt;тётя
best friend;лучший друг
boyfriend;парень
cousin;двоюродный брат/сестра
daughter;дочь
dry weather;сухая погода
girlfriend;подруга
grandmother;бабушка
luckily;к счастью
son;сын
uncle;дядя
young;молодой
affect;влиять
effect;эффект
cleaner;уборщик
earn money;зарабатывать деньги
earn living;зарабатывать на жизнь
earnings;заработок
education;образование
empty;пустой
fair;справедливый
full-time;полный рабочий день
part-time;неполный рабочий день
