Front;Back
the fresh air;свежий воздух
fall asleep;засыпать
fast asleep;крепко спящий
badly;сильно
burn;жечь, ожог
complain to smn;жаловаться кому-то
complain about smth;жаловаться на что-либо
make a complaint about smth;подать жалобу на что-то
damaged;поврежденный
fan;фанат
ice;лед
infection;инфекция
politics;политика
political;политический
protest against smth;протест против чего-либо
shout at smn;кричать на кого-либо
smile;улыбаться, улыбка
smile at smn;улыбаться кому-либо
staff;персонал
stomach;живот, желудок
heavy storm;сильный шторм
stormy weather;штормовая погода
sun cream;солнцезащитный крем
upset;расстроенный
arm;рука
back;спина
cancel;отменять
carry;нести
cough;кашель, кашлять
foot;ступня
feet;ступни
get a cold;простудиться
head;голова
leg;нога
take time off;взять выходной
be off;уходить, уезжать
pan;сковорода
plaster;пластырь, гипс
rush;торопиться
be sick;тошнить
stiff;жесткий, плотный
stiff muscles;забитые мышцы
warm up;разминаться
