Front;Back
animal;животное
pay cash;платить наличными
charge smb for smth;платить кому-то за что-то
free of charge;бесплатно
business class;бизнес-класс
cycle;ездить на велосипеде
delicious;очень вкусный
get off;сходить, выходить
haircut;стрижка, причёска
cycle lane;велосипедная дорожка
bus lane;автобусная полоса
live;живой звук, прямой эфир
park a car;парковать машину
platform;платформа
outdoor pool;открытый бассейн
indoor pool;крытый бассейн
taste;пробовать на вкус
vote for;голосовать за
vote against;голосовать против
direct train;прямой поезд
discount;скидка
long journey;долгое путешествие
passenger;пассажир
PIN;пин-код
quarter;четверть
return;билет в обе стороны
single;билет в одну сторону
on average;в среднем
make a booking;забронировать
book;бронировать
brain;мозг
break down;сломаться
catch a bus;сесть на автобус
catch a train;сесть на поезд
competition;соревнование
be connected to/with;быть связанным с
