Front;Back
bathroom;ванная
chemist;Аптека
clean;чистить
dressed;одетый
hair;волосы
kitchen;кухня
living room;гостиная
store;магазин
wash;мыть, стирать
bookshop;книжный магазин
buy;покупать
drink;пить
left;лево, левый
map;карта
toothpaste;зубная паста
apartment;квартира
best;лучший
dry;сушить
food;еда
hang up;повесить
make-up;макияж, косметика
post office;почтовое отделение, почта
put on;надевать
set the table;накрывать на стол
share;делиться
sports centre;спортивный центр
supermarket;супермаркет
washing;стирка
bank;банк
boot;ботинок
change;менять
corner;угол
eat;есть
internet café;интернет-кафе
jacket;куртка, пиджак
package;посылка
right;право, правый
sandwich;бутерброд, сэндвич
send;посылать, отправлять
shirt;рубашка
shoe;туфля
stamp;марка
street;улица
tennis;теннис
alarm clock;будильник
annoy;раздражать
balcony;балкон
brush;щетка
business management;управление бизнесом
cat;кот
cupboard;шкаф для посуды, буфет
a tube of toothpaste;тюбик зубной пасты
wash the dishes;мыть посуду
