Front;Back
pay a bill;оплатить счет
bill for smth;счет за что-то
chips;картошка фри
cookery;кулинария
cookery book;кулинарная книга
dessert;десерт
fried;жареный
garlic;чеснок
onion;лук
order;заказывать, заказ
place an order;сделать заказ
pregnant;беременный
pregnancy;беременность
soft drink;безалкогольный напиток
soup;суп
spice;специя
sweets;конфеты, сладости
lose weight;терять вес
gain/put on weight;набирать вес
weigh;весить
add;добавлять
blood;кровь
chicken;цыпленок, курица
course;блюдо
three-course meal;обед из трех блюд
be full (up);быть сытым
ice-cream;мороженое
include;включать в себя
milk;молоко
be ready to do smth;быть готовым сделать что-то
be ready for smth;быть готовым к чему-то
recommend doing smth;рекомендовать что-либо сделать
recommendation;рекомендация, совет
on smn's recommendation;по чьей-то рекомендации
salad;салат
service;обслуживание
starter;закуска
well;хорошо
agree with smn;соглашаться с кем-то
agree to do smth;согласиться сделать что-то
reach an agreement;достичь соглашения
come to an agreement;прийти к соглашению
disagree about smth;не согласиться в чем-то
disagree with smn;не согласиться с кем-то
banana;банан
