Front;Back
education;образование
subject;предмет
an angry boss;злой начальник
a boring class;скучный урок
borrow some money;занимать деньги
cause a problem;вызвать проблему, стать причиной
a creative person;творческий человек
help each other;помогать друг другу
a Law student;студент юридического факультета
a lazy student;ленивый студент
learn Arabic;учить арабский
learn to ride a bike;учиться кататься на велосипеде
make clothes;шить одежду
a modern university;современный университет
pass the exam;сдать экзамен (успешно)
police training;школа полиции
solve the problem;решить проблему
a strange teacher;странный учитель
study Engineering;изучать инженерно-технические специальности
teach PE;преподавать физкультуру
nice;хороший, милый, приятный
hard-working;трудолюбивый
expensive;дорогой
a boring course;скучный курс
a difficult course;сложный курс
Biology;биология
Chemistry;химия
Computing;информатика
Engineering;инженерное дело, проектирование
Geography;география
History;история
Law;закон, право
Literature;литература
Marketing;маркетинг
Maths;математика
Medicine;медицина
PE;физкультура
arts subjects;гуманитарные предметы
science subjects;научно-технические предметы
useful;полезный
strict;строгий
difficulty;трудность
unfriendly;недружелюбный
give helpful advice;дать полезный совет
modern;современный
patience;терпение
impatient;нетерпеливый
wait patiently;терпеливо ждать
popularity;популярность
varied;разнообразный
